13:001:001	Adam, Sheth, Enosh,
13:007:017	And the sons of Ulam; Bedan. These were the sons of Gilead, the son of Machir, the son of Manasseh.
13:007:018	And his sister Hammoleketh bare Ishod, and Abiezer, and Mahalah.
13:007:019	And the sons of Shemidah were, Ahian, and Shechem, and Likhi, and Aniam.
13:007:020	And the sons of Ephraim; Shuthelah, and Bered his son, and Tahath his son, and Eladah his son, and Tahath his son,
13:007:021	And Zabad his son, and Shuthelah his son, and Ezer, and Elead, whom the men of Gath that were born in that land slew, because they came down to take away their cattle.
13:007:022	And Ephraim their father mourned many days, and his brethren came to comfort him.
13:007:023	And when he went in to his wife, she conceived, and bare a son, and he called his name Beriah, because it went evil with his house.
13:007:024	(And his daughter was Sherah, who built Bethhoron the nether, and the upper, and Uzzensherah.)
13:007:025	And Rephah was his son, also Resheph, and Telah his son, and Tahan his son.
13:007:026	Laadan his son, Ammihud his son, Elishama his son.
13:007:027	Non his son, Jehoshuah his son.
13:007:028	And their possessions and habitations were, Bethel and the towns thereof, and eastward Naaran, and westward Gezer, with the towns thereof; Shechem also and the towns thereof, unto Gaza and the towns thereof:
13:007:029	And by the borders of the children of Manasseh, Bethshean and her towns, Taanach and her towns, Megiddo and her towns, Dor and her towns. In these dwelt the children of Joseph the son of Israel.
13:007:030	The sons of Asher; Imnah, and Isuah, and Ishuai, and Beriah, and Serah their sister.
13:007:031	And the sons of Beriah; Heber, and Malchiel, who is the father of Birzavith.
13:007:032	And Heber begat Japhlet, and Shomer, and Hotham, and Shua their sister.
13:007:033	And the sons of Japhlet; Pasach, and Bimhal, and Ashvath. These are the children of Japhlet.
13:007:034	And the sons of Shamer; Ahi, and Rohgah, Jehubbah, and Aram.
13:007:035	And the sons of his brother Helem; Zophah, and Imna, and Shelesh, and Amal.
13:007:036	The sons of Zophah; Suah, and Harnepher, and Shual, and Beri, and Imrah,
13:007:037	Bezer, and Hod, and Shamma, and Shilshah, and Ithran, and Beera.
13:007:038	And the sons of Jether; Jephunneh, and Pispah, and Ara.
13:007:039	And the sons of Ulla; Arah, and Haniel, and Rezia.
13:007:040	All these were the children of Asher, heads of their father's house, choice and mighty men of valour, chief of the princes. And the number throughout the genealogy of them that were apt to the war and to battle was twenty and six thousand men.
13:008:001	Now Benjamin begat Bela his firstborn, Ashbel the second, and Aharah the third,
13:008:002	Nohah the fourth, and Rapha the fifth.
13:008:003	And the sons of Bela were, Addar, and Gera, and Abihud,
13:008:004	And Abishua, and Naaman, and Ahoah,
13:008:005	And Gera, and Shephuphan, and Huram.
13:008:006	And these are the sons of Ehud: these are the heads of the fathers of the inhabitants of Geba, and they removed them to Manahath:
13:008:007	And Naaman, and Ahiah, and Gera, he removed them, and begat Uzza, and Ahihud.
13:008:008	And Shaharaim begat children in the country of Moab, after he had sent them away; Hushim and Baara were his wives.
13:008:009	And he begat of Hodesh his wife, Jobab, and Zibia, and Mesha, and Malcham,
13:008:010	And Jeuz, and Shachia, and Mirma. These were his sons, heads of the fathers.
13:008:011	And of Hushim he begat Abitub, and Elpaal.
13:008:012	The sons of Elpaal; Eber, and Misham, and Shamed, who built Ono, and Lod, with the towns thereof:
13:008:013	Beriah also, and Shema, who were heads of the fathers of the inhabitants of Aijalon, who drove away the inhabitants of Gath:
13:008:014	And Ahio, Shashak, and Jeremoth,
13:008:015	And Zebadiah, and Arad, and Ader,
13:008:016	And Michael, and Ispah, and Joha, the sons of Beriah;
13:008:017	And Zebadiah, and Meshullam, and Hezeki, and Heber,
13:008:018	Ishmerai also, and Jezliah, and Jobab, the sons of Elpaal;
13:008:019	And Jakim, and Zichri, and Zabdi,
13:008:020	And Elienai, and Zilthai, and Eliel,
13:008:021	And Adaiah, and Beraiah, and Shimrath, the sons of Shimhi;
13:008:022	And Ishpan, and Heber, and Eliel,
13:008:023	And Abdon, and Zichri, and Hanan,
13:008:024	And Hananiah, and Elam, and Antothijah,
13:008:025	And Iphedeiah, and Penuel, the sons of Shashak;
13:008:026	And Shamsherai, and Shehariah, and Athaliah,
13:008:027	And Jaresiah, and Eliah, and Zichri, the sons of Jeroham.
13:008:028	These were heads of the fathers, by their generations, chief men. These dwelt in Jerusalem.
13:008:029	And at Gibeon dwelt the father of Gibeon; whose wife's name was Maachah:
13:008:030	And his firstborn son Abdon, and Zur, and Kish, and Baal, and Nadab,
13:008:031	And Gedor, and Ahio, and Zacher.
13:008:032	And Mikloth begat Shimeah. And these also dwelt with their brethren in Jerusalem, over against them.
13:008:033	And Ner begat Kish, and Kish begat Saul, and Saul begat Jonathan, and Malchishua, and Abinadab, and Eshbaal.
13:008:034	And the son of Jonathan was Meribbaal; and Meribbaal begat Micah.
13:008:035	And the sons of Micah were, Pithon, and Melech, and Tarea, and Ahaz.
13:008:036	And Ahaz begat Jehoadah; and Jehoadah begat Alemeth, and Azmaveth, and Zimri; and Zimri begat Moza,
13:008:037	And Moza begat Binea: Rapha was his son, Eleasah his son, Azel his son:
13:008:038	And Azel had six sons, whose names are these, Azrikam, Bocheru, and Ishmael, and Sheariah, and Obadiah, and Hanan. All these were the sons of Azel.
13:008:039	And the sons of Eshek his brother were, Ulam his firstborn, Jehush the second, and Eliphelet the third.
13:008:040	And the sons of Ulam were mighty men of valour, archers, and had many sons, and sons' sons, an hundred and fifty. All these are of the sons of Benjamin.
13:009:001	So all Israel were reckoned by genealogies; and, behold, they were written in the book of the kings of Israel and Judah, who were carried away to Babylon for their transgression.
13:009:002	Now the first inhabitants that dwelt in their possessions in their cities were, the Israelites, the priests, Levites, and the Nethinims.
13:009:003	And in Jerusalem dwelt of the children of Judah, and of the children of Benjamin, and of the children of Ephraim, and Manasseh;
13:009:004	Uthai the son of Ammihud, the son of Omri, the son of Imri, the son of Bani, of the children of Pharez the son of Judah.
13:009:005	And of the Shilonites; Asaiah the firstborn, and his sons.
13:009:006	And of the sons of Zerah; Jeuel, and their brethren, six hundred and ninety.
13:009:007	And of the sons of Benjamin; Sallu the son of Meshullam, the son of Hodaviah, the son of Hasenuah,
13:009:008	And Ibneiah the son of Jeroham, and Elah the son of Uzzi, the son of Michri, and Meshullam the son of Shephathiah, the son of Reuel, the son of Ibnijah;
13:009:009	And their brethren, according to their generations, nine hundred and fifty and six. All these men were chief of the fathers in the house of their fathers.
13:009:010	And of the priests; Jedaiah, and Jehoiarib, and Jachin,
13:009:011	And Azariah the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the ruler of the house of God;
13:009:012	And Adaiah the son of Jeroham, the son of Pashur, the son of Malchijah, and Maasiai the son of Adiel, the son of Jahzerah, the son of Meshullam, the son of Meshillemith, the son of Immer;
13:009:013	And their brethren, heads of the house of their fathers, a thousand and seven hundred and threescore; very able men for the work of the service of the house of God.
13:009:014	And of the Levites; Shemaiah the son of Hasshub, the son of Azrikam, the son of Hashabiah, of the sons of Merari;
13:009:015	And Bakbakkar, Heresh, and Galal, and Mattaniah the son of Micah, the son of Zichri, the son of Asaph;
13:009:016	And Obadiah the son of Shemaiah, the son of Galal, the son of Jeduthun, and Berechiah the son of Asa, the son of Elkanah, that dwelt in the villages of the Netophathites.
13:009:017	And the porters were, Shallum, and Akkub, and Talmon, and Ahiman, and their brethren: Shallum was the chief;
13:009:018	Who hitherto waited in the king's gate eastward: they were porters in the companies of the children of Levi.
13:009:019	And Shallum the son of Kore, the son of Ebiasaph, the son of Korah, and his brethren, of the house of his father, the Korahites, were over the work of the service, keepers of the gates of the tabernacle: and their fathers, being over the host of the LORD, were keepers of the entry.
13:009:020	And Phinehas the son of Eleazar was the ruler over them in time past, and the LORD was with him.
13:009:021	And Zechariah the son of Meshelemiah was porter of the door of the tabernacle of the congregation.
13:009:022	All these which were chosen to be porters in the gates were two hundred and twelve. These were reckoned by their genealogy in their villages, whom David and Samuel the seer did ordain in their set office.
13:009:023	So they and their children had the oversight of the gates of the house of the LORD, namely, the house of the tabernacle, by wards.
13:009:024	In four quarters were the porters, toward the east, west, north, and south.
13:009:025	And their brethren, which were in their villages, were to come after seven days from time to time with them.
13:009:026	For these Levites, the four chief porters, were in their set office, and were over the chambers and treasuries of the house of God.
13:009:027	And they lodged round about the house of God, because the charge was upon them, and the opening thereof every morning pertained to them.
13:009:028	And certain of them had the charge of the ministering vessels, that they should bring them in and out by tale.
13:009:029	Some of them also were appointed to oversee the vessels, and all the instruments of the sanctuary, and the fine flour, and the wine, and the oil, and the frankincense, and the spices.
13:009:030	And some of the sons of the priests made the ointment of the spices.
13:009:031	And Mattithiah, one of the Levites, who was the firstborn of Shallum the Korahite, had the set office over the things that were made in the pans.
13:009:032	And other of their brethren, of the sons of the Kohathites, were over the shewbread, to prepare it every sabbath.
13:009:033	And these are the singers, chief of the fathers of the Levites, who remaining in the chambers were free: for they were employed in that work day and night.
13:009:034	These chief fathers of the Levites were chief throughout their generations; these dwelt at Jerusalem.
13:009:035	And in Gibeon dwelt the father of Gibeon, Jehiel, whose wife's name was Maachah:
13:009:036	And his firstborn son Abdon, then Zur, and Kish, and Baal, and Ner, and Nadab.
13:009:037	And Gedor, and Ahio, and Zechariah, and Mikloth.
13:009:038	And Mikloth begat Shimeam. And they also dwelt with their brethren at Jerusalem, over against their brethren.
13:009:039	And Ner begat Kish; and Kish begat Saul; and Saul begat Jonathan, and Malchishua, and Abinadab, and Eshbaal.
13:009:040	And the son of Jonathan was Meribbaal: and Meribbaal begat Micah.
13:009:041	And the sons of Micah were, Pithon, and Melech, and Tahrea, and Ahaz.
13:009:042	And Ahaz begat Jarah; and Jarah begat Alemeth, and Azmaveth, and Zimri; and Zimri begat Moza;
13:009:043	And Moza begat Binea; and Rephaiah his son, Eleasah his son, Azel his son.
13:009:044	And Azel had six sons, whose names are these, Azrikam, Bocheru, and Ishmael, and Sheariah, and Obadiah, and Hanan: these were the sons of Azel.
13:010:001	Now the Philistines fought against Israel; and the men of Israel fled from before the Philistines, and fell down slain in mount Gilboa.
13:010:002	And the Philistines followed hard after Saul, and after his sons; and the Philistines slew Jonathan, and Abinadab, and Malchishua, the sons of Saul.
13:010:003	And the battle went sore against Saul, and the archers hit him, and he was wounded of the archers.
13:010:004	Then said Saul to his armourbearer, Draw thy sword, and thrust me through therewith; lest these uncircumcised come and abuse me. But his armourbearer would not; for he was sore afraid. So Saul took a sword, and fell upon it.
13:010:005	And when his armourbearer saw that Saul was dead, he fell likewise on the sword, and died.
13:010:006	So Saul died, and his three sons, and all his house died together.
13:010:007	And when all the men of Israel that were in the valley saw that they fled, and that Saul and his sons were dead, then they forsook their cities, and fled: and the Philistines came and dwelt in them.
13:010:008	And it came to pass on the morrow, when the Philistines came to strip the slain, that they found Saul and his sons fallen in mount Gilboa.
13:010:009	And when they had stripped him, they took his head, and his armour, and sent into the land of the Philistines round about, to carry tidings unto their idols, and to the people.
13:010:010	And they put his armour in the house of their gods, and fastened his head in the temple of Dagon.
13:010:011	And when all Jabeshgilead heard all that the Philistines had done to Saul,
13:010:012	They arose, all the valiant men, and took away the body of Saul, and the bodies of his sons, and brought them to Jabesh, and buried their bones under the oak in Jabesh, and fasted seven days.
13:010:013	So Saul died for his transgression which he committed against the LORD, even against the word of the LORD, which he kept not, and also for asking counsel of one that had a familiar spirit, to enquire of it;
13:010:014	And enquired not of the LORD: therefore he slew him, and turned the kingdom unto David the son of Jesse.
13:011:001	Then all Israel gathered themselves to David unto Hebron, saying, Behold, we are thy bone and thy flesh.
13:011:002	And moreover in time past, even when Saul was king, thou wast he that leddest out and broughtest in Israel: and the LORD thy God said unto thee, Thou shalt feed my people Israel, and thou shalt be ruler over my people Israel.
13:011:003	Therefore came all the elders of Israel to the king to Hebron; and David made a covenant with them in Hebron before the LORD; and they anointed David king over Israel, according to the word of the LORD by Samuel.
13:011:004	And David and all Israel went to Jerusalem, which is Jebus; where the Jebusites were, the inhabitants of the land.
13:011:005	And the inhabitants of Jebus said to David, Thou shalt not come hither. Nevertheless David took the castle of Zion, which is the city of David.
13:011:006	And David said, Whosoever smiteth the Jebusites first shall be chief and captain. So Joab the son of Zeruiah went first up, and was chief.
13:011:007	And David dwelt in the castle; therefore they called it the city of David.
13:011:008	And he built the city round about, even from Millo round about: and Joab repaired the rest of the city.
13:011:009	So David waxed greater and greater: for the LORD of hosts was with him.
13:011:010	These also are the chief of the mighty men whom David had, who strengthened themselves with him in his kingdom, and with all Israel, to make him king, according to the word of the LORD concerning Israel.
13:011:011	And this is the number of the mighty men whom David had; Jashobeam, an Hachmonite, the chief of the captains: he lifted up his spear against three hundred slain by him at one time.
13:011:012	And after him was Eleazar the son of Dodo, the Ahohite, who was one of the three mighties.
13:011:013	He was with David at Pasdammim, and there the Philistines were gathered together to battle, where was a parcel of ground full of barley; and the people fled from before the Philistines.
13:011:014	And they set themselves in the midst of that parcel, and delivered it, and slew the Philistines; and the LORD saved them by a great deliverance.
13:011:015	Now three of the thirty captains went down to the rock to David, into the cave of Adullam; and the host of the Philistines encamped in the valley of Rephaim.
13:011:016	And David was then in the hold, and the Philistines' garrison was then at Bethlehem.
13:011:017	And David longed, and said, Oh that one would give me drink of the water of the well of Bethlehem, that is at the gate!
13:011:018	And the three brake through the host of the Philistines, and drew water out of the well of Bethlehem, that was by the gate, and took it, and brought it to David: but David would not drink of it, but poured it out to the LORD.
13:011:019	And said, My God forbid it me, that I should do this thing: shall I drink the blood of these men that have put their lives in jeopardy? for with the jeopardy of their lives they brought it. Therefore he would not drink it. These things did these three mightiest.
13:011:020	And Abishai the brother of Joab, he was chief of the three: for lifting up his spear against three hundred, he slew them, and had a name among the three.
13:011:021	Of the three, he was more honourable than the two; for he was their captain: howbeit he attained not to the first three.
13:011:022	Benaiah the son of Jehoiada, the son of a valiant man of Kabzeel, who had done many acts; he slew two lionlike men of Moab: also he went down and slew a lion in a pit in a snowy day.
13:011:023	And he slew an Egyptian, a man of great stature, five cubits high; and in the Egyptian's hand was a spear like a weaver's beam; and he went down to him with a staff, and plucked the spear out of the Egyptian's hand, and slew him with his own spear.
13:011:024	These things did Benaiah the son of Jehoiada, and had the name among the three mighties.
13:011:025	Behold, he was honourable among the thirty, but attained not to the first three: and David set him over his guard.
13:011:026	Also the valiant men of the armies were, Asahel the brother of Joab, Elhanan the son of Dodo of Bethlehem,
13:011:027	Shammoth the Harorite, Helez the Pelonite,
13:011:028	Ira the son of Ikkesh the Tekoite, Abiezer the Antothite,
13:011:029	Sibbecai the Hushathite, Ilai the Ahohite,
13:011:030	Maharai the Netophathite, Heled the son of Baanah the Netophathite,
13:011:031	Ithai the son of Ribai of Gibeah, that pertained to the children of Benjamin, Benaiah the Pirathonite,
13:011:032	Hurai of the brooks of Gaash, Abiel the Arbathite,
13:011:033	Azmaveth the Baharumite, Eliahba the Shaalbonite,
13:011:034	The sons of Hashem the Gizonite, Jonathan the son of Shage the Hararite,
13:011:035	Ahiam the son of Sacar the Hararite, Eliphal the son of Ur,
13:011:036	Hepher the Mecherathite, Ahijah the Pelonite,
13:011:037	Hezro the Carmelite, Naarai the son of Ezbai,
13:011:038	Joel the brother of Nathan, Mibhar the son of Haggeri,
13:011:039	Zelek the Ammonite, Naharai the Berothite, the armourbearer of Joab the son of Zeruiah,
13:011:040	Ira the Ithrite, Gareb the Ithrite,
13:011:041	Uriah the Hittite, Zabad the son of Ahlai,
13:011:042	Adina the son of Shiza the Reubenite, a captain of the Reubenites, and thirty with him,
13:011:043	Hanan the son of Maachah, and Joshaphat the Mithnite,
13:011:044	Uzzia the Ashterathite, Shama and Jehiel the sons of Hothan the Aroerite,
13:011:045	Jediael the son of Shimri, and Joha his brother, the Tizite,
13:011:046	Eliel the Mahavite, and Jeribai, and Joshaviah, the sons of Elnaam, and Ithmah the Moabite,
13:011:047	Eliel, and Obed, and Jasiel the Mesobaite.
13:012:001	Now these are they that came to David to Ziklag, while he yet kept himself close because of Saul the son of Kish: and they were among the mighty men, helpers of the war.
13:012:002	They were armed with bows, and could use both the right hand and the left in hurling stones and shooting arrows out of a bow, even of Saul's brethren of Benjamin.
13:012:003	The chief was Ahiezer, then Joash, the sons of Shemaah the Gibeathite; and Jeziel, and Pelet, the sons of Azmaveth; and Berachah, and Jehu the Antothite.
13:012:004	And Ismaiah the Gibeonite, a mighty man among the thirty, and over the thirty; and Jeremiah, and Jahaziel, and Johanan, and Josabad the Gederathite,
13:012:005	Eluzai, and Jerimoth, and Bealiah, and Shemariah, and Shephatiah the Haruphite,
13:012:006	Elkanah, and Jesiah, and Azareel, and Joezer, and Jashobeam, the Korhites,
13:012:007	And Joelah, and Zebadiah, the sons of Jeroham of Gedor.
13:012:008	And of the Gadites there separated themselves unto David into the hold to the wilderness men of might, and men of war fit for the battle, that could handle shield and buckler, whose faces were like the faces of lions, and were as swift as the roes upon the mountains;
13:012:009	Ezer the first, Obadiah the second, Eliab the third,
13:012:010	Mishmannah the fourth, Jeremiah the fifth,
13:012:011	Attai the sixth, Eliel the seventh,
13:012:012	Johanan the eighth, Elzabad the ninth,
13:012:013	Jeremiah the tenth, Machbanai the eleventh.
13:012:014	These were of the sons of Gad, captains of the host: one of the least was over an hundred, and the greatest over a thousand.
13:012:015	These are they that went over Jordan in the first month, when it had overflown all his banks; and they put to flight all them of the valleys, both toward the east, and toward the west.
13:012:016	And there came of the children of Benjamin and Judah to the hold unto David.
13:012:017	And David went out to meet them, and answered and said unto them, If ye be come peaceably unto me to help me, mine heart shall be knit unto you: but if ye be come to betray me to mine enemies, seeing there is no wrong in mine hands, the God of our fathers look thereon, and rebuke it.
13:012:018	Then the spirit came upon Amasai, who was chief of the captains, and he said, Thine are we, David, and on thy side, thou son of Jesse: peace, peace be unto thee, and peace be to thine helpers; for thy God helpeth thee. Then David received them, and made them captains of the band.
13:012:019	And there fell some of Manasseh to David, when he came with the Philistines against Saul to battle: but they helped them not: for the lords of the Philistines upon advisement sent him away, saying, He will fall to his master Saul to the jeopardy of our heads.
13:012:020	As he went to Ziklag, there fell to him of Manasseh, Adnah, and Jozabad, and Jediael, and Michael, and Jozabad, and Elihu, and Zilthai, captains of the thousands that were of Manasseh.
13:012:021	And they helped David against the band of the rovers: for they were all mighty men of valour, and were captains in the host.
13:012:022	For at that time day by day there came to David to help him, until it was a great host, like the host of God.
13:012:023	And these are the numbers of the bands that were ready armed to the war, and came to David to Hebron, to turn the kingdom of Saul to him, according to the word of the LORD.
13:012:024	The children of Judah that bare shield and spear were six thousand and eight hundred, ready armed to the war.
13:012:025	Of the children of Simeon, mighty men of valour for the war, seven thousand and one hundred.
13:012:026	Of the children of Levi four thousand and six hundred.
13:012:027	And Jehoiada was the leader of the Aaronites, and with him were three thousand and seven hundred;
13:012:028	And Zadok, a young man mighty of valour, and of his father's house twenty and two captains.
13:012:029	And of the children of Benjamin, the kindred of Saul, three thousand: for hitherto the greatest part of them had kept the ward of the house of Saul.
13:012:030	And of the children of Ephraim twenty thousand and eight hundred, mighty men of valour, famous throughout the house of their fathers.
13:012:031	And of the half tribe of Manasseh eighteen thousand, which were expressed by name, to come and make David king.
13:012:032	And of the children of Issachar, which were men that had understanding of the times, to know what Israel ought to do; the heads of them were two hundred; and all their brethren were at their commandment.
13:012:033	Of Zebulun, such as went forth to battle, expert in war, with all instruments of war, fifty thousand, which could keep rank: they were not of double heart.
13:012:034	And of Naphtali a thousand captains, and with them with shield and spear thirty and seven thousand.
13:012:035	And of the Danites expert in war twenty and eight thousand and six hundred.
13:012:036	And of Asher, such as went forth to battle, expert in war, forty thousand.
13:012:037	And on the other side of Jordan, of the Reubenites, and the Gadites, and of the half tribe of Manasseh, with all manner of instruments of war for the battle, an hundred and twenty thousand.
13:012:038	All these men of war, that could keep rank, came with a perfect heart to Hebron, to make David king over all Israel: and all the rest also of Israel were of one heart to make David king.
13:012:039	And there they were with David three days, eating and drinking: for their brethren had prepared for them.
13:012:040	Moreover they that were nigh them, even unto Issachar and Zebulun and Naphtali, brought bread on asses, and on camels, and on mules, and on oxen, and meat, meal, cakes of figs, and bunches of raisins, and wine, and oil, and oxen, and sheep abundantly: for there was joy in Israel.
13:013:001	And David consulted with the captains of thousands and hundreds, and with every leader.
13:013:002	And David said unto all the congregation of Israel, If it seem good unto you, and that it be of the LORD our God, let us send abroad unto our brethren every where, that are left in all the land of Israel, and with them also to the priests and Levites which are in their cities and suburbs, that they may gather themselves unto us:
13:013:003	And let us bring again the ark of our God to us: for we enquired not at it in the days of Saul.
13:013:004	And all the congregation said that they would do so: for the thing was right in the eyes of all the people.
13:013:005	So David gathered all Israel together, from Shihor of Egypt even unto the entering of Hemath, to bring the ark of God from Kirjathjearim.
13:013:006	And David went up, and all Israel, to Baalah, that is, to Kirjathjearim, which belonged to Judah, to bring up thence the ark of God the LORD, that dwelleth between the cherubims, whose name is called on it.
13:013:007	And they carried the ark of God in a new cart out of the house of Abinadab: and Uzza and Ahio drave the cart.
13:013:008	And David and all Israel played before God with all their might, and with singing, and with harps, and with psalteries, and with timbrels, and with cymbals, and with trumpets.
13:013:009	And when they came unto the threshingfloor of Chidon, Uzza put forth his hand to hold the ark; for the oxen stumbled.
13:013:010	And the anger of the LORD was kindled against Uzza, and he smote him, because he put his hand to the ark: and there he died before God.
13:013:011	And David was displeased, because the LORD had made a breach upon Uzza: wherefore that place is called Perezuzza to this day.
13:013:012	And David was afraid of God that day, saying, How shall I bring the ark of God home to me?
13:013:013	So David brought not the ark home to himself to the city of David, but carried it aside into the house of Obededom the Gittite.
13:013:014	And the ark of God remained with the family of Obededom in his house three months. And the LORD blessed the house of Obededom, and all that he had.
13:014:001	Now Hiram king of Tyre sent messengers to David, and timber of cedars, with masons and carpenters, to build him an house.
13:014:002	And David perceived that the LORD had confirmed him king over Israel, for his kingdom was lifted up on high, because of his people Israel.
13:014:003	And David took more wives at Jerusalem: and David begat more sons and daughters.
13:014:004	Now these are the names of his children which he had in Jerusalem; Shammua, and Shobab, Nathan, and Solomon,
13:014:005	And Ibhar, and Elishua, and Elpalet,
13:014:006	And Nogah, and Nepheg, and Japhia,
13:014:007	And Elishama, and Beeliada, and Eliphalet.
13:014:008	And when the Philistines heard that David was anointed king over all Israel, all the Philistines went up to seek David. And David heard of it, and went out against them.
13:014:009	And the Philistines came and spread themselves in the valley of Rephaim.
13:014:010	And David enquired of God, saying, Shall I go up against the Philistines? And wilt thou deliver them into mine hand? And the LORD said unto him, Go up; for I will deliver them into thine hand.
13:014:011	So they came up to Baalperazim; and David smote them there. Then David said, God hath broken in upon mine enemies by mine hand like the breaking forth of waters: therefore they called the name of that place Baalperazim.
13:014:012	And when they had left their gods there, David gave a commandment, and they were burned with fire.
13:014:013	And the Philistines yet again spread themselves abroad in the valley.
13:014:014	Therefore David enquired again of God; and God said unto him, Go not up after them; turn away from them, and come upon them over against the mulberry trees.
13:014:015	And it shall be, when thou shalt hear a sound of going in the tops of the mulberry trees, that then thou shalt go out to battle: for God is gone forth before thee to smite the host of the Philistines.
13:014:016	David therefore did as God commanded him: and they smote the host of the Philistines from Gibeon even to Gazer.
13:014:017	And the fame of David went out into all lands; and the LORD brought the fear of him upon all nations.
13:015:001	And David made him houses in the city of David, and prepared a place for the ark of God, and pitched for it a tent.
13:015:002	Then David said, None ought to carry the ark of God but the Levites: for them hath the LORD chosen to carry the ark of God, and to minister unto him for ever.
13:015:003	And David gathered all Israel together to Jerusalem, to bring up the ark of the LORD unto his place, which he had prepared for it.
13:015:004	And David assembled the children of Aaron, and the Levites:
13:015:005	Of the sons of Kohath; Uriel the chief, and his brethren an hundred and twenty:
13:015:006	Of the sons of Merari; Asaiah the chief, and his brethren two hundred and twenty:
13:015:007	Of the sons of Gershom; Joel the chief and his brethren an hundred and thirty:
13:015:008	Of the sons of Elizaphan; Shemaiah the chief, and his brethren two hundred:
13:015:009	Of the sons of Hebron; Eliel the chief, and his brethren fourscore:
13:015:010	Of the sons of Uzziel; Amminadab the chief, and his brethren an hundred and twelve.
13:015:011	And David called for Zadok and Abiathar the priests, and for the Levites, for Uriel, Asaiah, and Joel, Shemaiah, and Eliel, and Amminadab,
13:015:012	And said unto them, Ye are the chief of the fathers of the Levites: sanctify yourselves, both ye and your brethren, that ye may bring up the ark of the LORD God of Israel unto the place that I have prepared for it.
13:015:013	For because ye did it not at the first, the LORD our God made a breach upon us, for that we sought him not after the due order.
13:015:014	So the priests and the Levites sanctified themselves to bring up the ark of the LORD God of Israel.
13:015:015	And the children of the Levites bare the ark of God upon their shoulders with the staves thereon, as Moses commanded according to the word of the LORD.
13:015:016	And David spake to the chief of the Levites to appoint their brethren to be the singers with instruments of musick, psalteries and harps and cymbals, sounding, by lifting up the voice with joy.
13:015:017	So the Levites appointed Heman the son of Joel; and of his brethren, Asaph the son of Berechiah; and of the sons of Merari their brethren, Ethan the son of Kushaiah;
13:015:018	And with them their brethren of the second degree, Zechariah, Ben, and Jaaziel, and Shemiramoth, and Jehiel, and Unni, Eliab, and Benaiah, and Maaseiah, and Mattithiah, and Elipheleh, and Mikneiah, and Obededom, and Jeiel, the porters.
13:015:019	So the singers, Heman, Asaph, and Ethan, were appointed to sound with cymbals of brass;
13:015:020	And Zechariah, and Aziel, and Shemiramoth, and Jehiel, and Unni, and Eliab, and Maaseiah, and Benaiah, with psalteries on Alamoth;
13:015:021	And Mattithiah, and Elipheleh, and Mikneiah, and Obededom, and Jeiel, and Azaziah, with harps on the Sheminith to excel.
13:015:022	And Chenaniah, chief of the Levites, was for song: he instructed about the song, because he was skilful.
13:015:023	And Berechiah and Elkanah were doorkeepers for the ark.
13:015:024	And Shebaniah, and Jehoshaphat, and Nethaneel, and Amasai, and Zechariah, and Benaiah, and Eliezer, the priests, did blow with the trumpets before the ark of God: and Obededom and Jehiah were doorkeepers for the ark.
13:015:025	So David, and the elders of Israel, and the captains over thousands, went to bring up the ark of the covenant of the LORD out of the house of Obededom with joy.
13:015:026	And it came to pass, when God helped the Levites that bare the ark of the covenant of the LORD, that they offered seven bullocks and seven rams.
13:015:027	And David was clothed with a robe of fine linen, and all the Levites that bare the ark, and the singers, and Chenaniah the master of the song with the singers: David also had upon him an ephod of linen.
13:015:028	Thus all Israel brought up the ark of the covenant of the LORD with shouting, and with sound of the cornet, and with trumpets, and with cymbals, making a noise with psalteries and harps.
13:015:029	And it came to pass, as the ark of the covenant of the LORD came to the city of David, that Michal, the daughter of Saul looking out at a window saw king David dancing and playing: and she despised him in her heart.
13:016:001	So they brought the ark of God, and set it in the midst of the tent that David had pitched for it: and they offered burnt sacrifices and peace offerings before God.
13:016:002	And when David had made an end of offering the burnt offerings and the peace offerings, he blessed the people in the name of the LORD.
13:016:003	And he dealt to every one of Israel, both man and woman, to every one a loaf of bread, and a good piece of flesh, and a flagon of wine.
13:016:004	And he appointed certain of the Levites to minister before the ark of the LORD, and to record, and to thank and praise the LORD God of Israel:
13:016:005	Asaph the chief, and next to him Zechariah, Jeiel, and Shemiramoth, and Jehiel, and Mattithiah, and Eliab, and Benaiah, and Obededom: and Jeiel with psalteries and with harps; but Asaph made a sound with cymbals;
13:016:006	Benaiah also and Jahaziel the priests with trumpets continually before the ark of the covenant of God.
13:016:007	Then on that day David delivered first this psalm to thank the LORD into the hand of Asaph and his brethren.
13:016:008	Give thanks unto the LORD, call upon his name, make known his deeds among the people.
13:016:009	Sing unto him, sing psalms unto him, talk ye of all his wondrous works.
13:016:010	Glory ye in his holy name: let the heart of them rejoice that seek the LORD.
13:016:011	Seek the LORD and his strength, seek his face continually.
13:016:012	Remember his marvellous works that he hath done, his wonders, and the judgments of his mouth;
13:016:013	O ye seed of Israel his servant, ye children of Jacob, his chosen ones.
13:016:014	He is the LORD our God; his judgments are in all the earth.
13:016:015	Be ye mindful always of his covenant; the word which he commanded to a thousand generations;
13:016:016	Even of the covenant which he made with Abraham, and of his oath unto Isaac;
