41:001:001	The beginning of the gospel of Jesus Christ, the Son of God;
41:008:033	But when he had turned about and looked on his disciples, he rebuked Peter, saying, Get thee behind me, Satan: for thou savourest not the things that be of God, but the things that be of men.
41:008:034	And when he had called the people unto him with his disciples also, he said unto them, Whosoever will come after me, let him deny himself, and take up his cross, and follow me.
41:008:035	For whosoever will save his life shall lose it; but whosoever shall lose his life for my sake and the gospel's, the same shall save it.
41:008:036	For what shall it profit a man, if he shall gain the whole world, and lose his own soul?
41:008:037	Or what shall a man give in exchange for his soul?
41:008:038	Whosoever therefore shall be ashamed of me and of my words in this adulterous and sinful generation; of him also shall the Son of man be ashamed, when he cometh in the glory of his Father with the holy angels.
41:009:001	And he said unto them, Verily I say unto you, That there be some of them that stand here, which shall not taste of death, till they have seen the kingdom of God come with power.
41:009:002	And after six days Jesus taketh with him Peter, and James, and John, and leadeth them up into an high mountain apart by themselves: and he was transfigured before them.
41:009:003	And his raiment became shining, exceeding white as snow; so as no fuller on earth can white them.
41:009:004	And there appeared unto them Elias with Moses: and they were talking with Jesus.
41:009:005	And Peter answered and said to Jesus, Master, it is good for us to be here: and let us make three tabernacles; one for thee, and one for Moses, and one for Elias.
41:009:006	For he wist not what to say; for they were sore afraid.
41:009:007	And there was a cloud that overshadowed them: and a voice came out of the cloud, saying, This is my beloved Son: hear him.
41:009:008	And suddenly, when they had looked round about, they saw no man any more, save Jesus only with themselves.
41:009:009	And as they came down from the mountain, he charged them that they should tell no man what things they had seen, till the Son of man were risen from the dead.
41:009:010	And they kept that saying with themselves, questioning one with another what the rising from the dead should mean.
41:009:011	And they asked him, saying, Why say the scribes that Elias must first come?
41:009:012	And he answered and told them, Elias verily cometh first, and restoreth all things; and how it is written of the Son of man, that he must suffer many things, and be set at nought.
41:009:013	But I say unto you, That Elias is indeed come, and they have done unto him whatsoever they listed, as it is written of him.
41:009:014	And when he came to his disciples, he saw a great multitude about them, and the scribes questioning with them.
41:009:015	And straightway all the people, when they beheld him, were greatly amazed, and running to him saluted him.
41:009:016	And he asked the scribes, What question ye with them?
41:009:017	And one of the multitude answered and said, Master, I have brought unto thee my son, which hath a dumb spirit;
41:009:018	And wheresoever he taketh him, he teareth him: and he foameth, and gnasheth with his teeth, and pineth away: and I spake to thy disciples that they should cast him out; and they could not.
41:009:019	He answereth him, and saith, O faithless generation, how long shall I be with you? how long shall I suffer you? bring him unto me.
41:009:020	And they brought him unto him: and when he saw him, straightway the spirit tare him; and he fell on the ground, and wallowed foaming.
41:009:021	And he asked his father, How long is it ago since this came unto him? And he said, Of a child.
41:009:022	And ofttimes it hath cast him into the fire, and into the waters, to destroy him: but if thou canst do any thing, have compassion on us, and help us.
41:009:023	Jesus said unto him, If thou canst believe, all things are possible to him that believeth.
41:009:024	And straightway the father of the child cried out, and said with tears, Lord, I believe; help thou mine unbelief.
41:009:025	When Jesus saw that the people came running together, he rebuked the foul spirit, saying unto him, Thou dumb and deaf spirit, I charge thee, come out of him, and enter no more into him.
41:009:026	And the spirit cried, and rent him sore, and came out of him: and he was as one dead; insomuch that many said, He is dead.
41:009:027	But Jesus took him by the hand, and lifted him up; and he arose.
41:009:028	And when he was come into the house, his disciples asked him privately, Why could not we cast him out?
41:009:029	And he said unto them, This kind can come forth by nothing, but by prayer and fasting.
41:009:030	And they departed thence, and passed through Galilee; and he would not that any man should know it.
41:009:031	For he taught his disciples, and said unto them, The Son of man is delivered into the hands of men, and they shall kill him; and after that he is killed, he shall rise the third day.
41:009:032	But they understood not that saying, and were afraid to ask him.
41:009:033	And he came to Capernaum: and being in the house he asked them, What was it that ye disputed among yourselves by the way?
41:009:034	But they held their peace: for by the way they had disputed among themselves, who should be the greatest.
41:009:035	And he sat down, and called the twelve, and saith unto them, If any man desire to be first, the same shall be last of all, and servant of all.
41:009:036	And he took a child, and set him in the midst of them: and when he had taken him in his arms, he said unto them,
41:009:037	Whosoever shall receive one of such children in my name, receiveth me: and whosoever shall receive me, receiveth not me, but him that sent me.
41:009:038	And John answered him, saying, Master, we saw one casting out devils in thy name, and he followeth not us: and we forbad him, because he followeth not us.
41:009:039	But Jesus said, Forbid him not: for there is no man which shall do a miracle in my name, that can lightly speak evil of me.
41:009:040	For he that is not against us is on our part.
41:009:041	For whosoever shall give you a cup of water to drink in my name, because ye belong to Christ, verily I say unto you, he shall not lose his reward.
41:009:042	And whosoever shall offend one of these little ones that believe in me, it is better for him that a millstone were hanged about his neck, and he were cast into the sea.
41:009:043	And if thy hand offend thee, cut it off: it is better for thee to enter into life maimed, than having two hands to go into hell, into the fire that never shall be quenched:
41:009:044	Where their worm dieth not, and the fire is not quenched.
41:009:045	And if thy foot offend thee, cut it off: it is better for thee to enter halt into life, than having two feet to be cast into hell, into the fire that never shall be quenched:
41:009:046	Where their worm dieth not, and the fire is not quenched.
41:009:047	And if thine eye offend thee, pluck it out: it is better for thee to enter into the kingdom of God with one eye, than having two eyes to be cast into hell fire:
41:009:048	Where their worm dieth not, and the fire is not quenched.
41:009:049	For every one shall be salted with fire, and every sacrifice shall be salted with salt.
41:009:050	Salt is good: but if the salt have lost his saltness, wherewith will ye season it? Have salt in yourselves, and have peace one with another.
41:010:001	And he arose from thence, and cometh into the coasts of Judaea by the farther side of Jordan: and the people resort unto him again; and, as he was wont, he taught them again.
41:010:002	And the Pharisees came to him, and asked him, Is it lawful for a man to put away his wife? tempting him.
41:010:003	And he answered and said unto them, What did Moses command you?
41:010:004	And they said, Moses suffered to write a bill of divorcement, and to put her away.
41:010:005	And Jesus answered and said unto them, For the hardness of your heart he wrote you this precept.
41:010:006	But from the beginning of the creation God made them male and female.
41:010:007	For this cause shall a man leave his father and mother, and cleave to his wife;
41:010:008	And they twain shall be one flesh: so then they are no more twain, but one flesh.
41:010:009	What therefore God hath joined together, let not man put asunder.
41:010:010	And in the house his disciples asked him again of the same matter.
41:010:011	And he saith unto them, Whosoever shall put away his wife, and marry another, committeth adultery against her.
41:010:012	And if a woman shall put away her husband, and be married to another, she committeth adultery.
41:010:013	And they brought young children to him, that he should touch them: and his disciples rebuked those that brought them.
41:010:014	But when Jesus saw it, he was much displeased, and said unto them, Suffer the little children to come unto me, and forbid them not: for of such is the kingdom of God.
41:010:015	Verily I say unto you, Whosoever shall not receive the kingdom of God as a little child, he shall not enter therein.
41:010:016	And he took them up in his arms, put his hands upon them, and blessed them.
41:010:017	And when he was gone forth into the way, there came one running, and kneeled to him, and asked him, Good Master, what shall I do that I may inherit eternal life?
41:010:018	And Jesus said unto him, Why callest thou me good? there is none good but one, that is, God.
41:010:019	Thou knowest the commandments, Do not commit adultery, Do not kill, Do not steal, Do not bear false witness, Defraud not, Honour thy father and mother.
41:010:020	And he answered and said unto him, Master, all these have I observed from my youth.
41:010:021	Then Jesus beholding him loved him, and said unto him, One thing thou lackest: go thy way, sell whatsoever thou hast, and give to the poor, and thou shalt have treasure in heaven: and come, take up the cross, and follow me.
41:010:022	And he was sad at that saying, and went away grieved: for he had great possessions.
41:010:023	And Jesus looked round about, and saith unto his disciples, How hardly shall they that have riches enter into the kingdom of God!
41:010:024	And the disciples were astonished at his words. But Jesus answereth again, and saith unto them, Children, how hard is it for them that trust in riches to enter into the kingdom of God!
41:010:025	It is easier for a camel to go through the eye of a needle, than for a rich man to enter into the kingdom of God.
41:010:026	And they were astonished out of measure, saying among themselves, Who then can be saved?
41:010:027	And Jesus looking upon them saith, With men it is impossible, but not with God: for with God all things are possible.
41:010:028	Then Peter began to say unto him, Lo, we have left all, and have followed thee.
41:010:029	And Jesus answered and said, Verily I say unto you, There is no man that hath left house, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for my sake, and the gospel's,
41:010:030	But he shall receive an hundredfold now in this time, houses, and brethren, and sisters, and mothers, and children, and lands, with persecutions; and in the world to come eternal life.
41:010:031	But many that are first shall be last; and the last first.
41:010:032	And they were in the way going up to Jerusalem; and Jesus went before them: and they were amazed; and as they followed, they were afraid. And he took again the twelve, and began to tell them what things should happen unto him,
41:010:033	Saying, Behold, we go up to Jerusalem; and the Son of man shall be delivered unto the chief priests, and unto the scribes; and they shall condemn him to death, and shall deliver him to the Gentiles:
41:010:034	And they shall mock him, and shall scourge him, and shall spit upon him, and shall kill him: and the third day he shall rise again.
41:010:035	And James and John, the sons of Zebedee, come unto him, saying, Master, we would that thou shouldest do for us whatsoever we shall desire.
41:010:036	And he said unto them, What would ye that I should do for you?
41:010:037	They said unto him, Grant unto us that we may sit, one on thy right hand, and the other on thy left hand, in thy glory.
41:010:038	But Jesus said unto them, Ye know not what ye ask: can ye drink of the cup that I drink of? and be baptized with the baptism that I am baptized with?
41:010:039	And they said unto him, We can. And Jesus said unto them, Ye shall indeed drink of the cup that I drink of; and with the baptism that I am baptized withal shall ye be baptized:
41:010:040	But to sit on my right hand and on my left hand is not mine to give; but it shall be given to them for whom it is prepared.
41:010:041	And when the ten heard it, they began to be much displeased with James and John.
41:010:042	But Jesus called them to him, and saith unto them, Ye know that they which are accounted to rule over the Gentiles exercise lordship over them; and their great ones exercise authority upon them.
41:010:043	But so shall it not be among you: but whosoever will be great among you, shall be your minister:
41:010:044	And whosoever of you will be the chiefest, shall be servant of all.
41:010:045	For even the Son of man came not to be ministered unto, but to minister, and to give his life a ransom for many.
41:010:046	And they came to Jericho: and as he went out of Jericho with his disciples and a great number of people, blind Bartimaeus, the son of Timaeus, sat by the highway side begging.
41:010:047	And when he heard that it was Jesus of Nazareth, he began to cry out, and say, Jesus, thou son of David, have mercy on me.
41:010:048	And many charged him that he should hold his peace: but he cried the more a great deal, Thou son of David, have mercy on me.
41:010:049	And Jesus stood still, and commanded him to be called. And they call the blind man, saying unto him, Be of good comfort, rise; he calleth thee.
41:010:050	And he, casting away his garment, rose, and came to Jesus.
41:010:051	And Jesus answered and said unto him, What wilt thou that I should do unto thee? The blind man said unto him, Lord, that I might receive my sight.
41:010:052	And Jesus said unto him, Go thy way; thy faith hath made thee whole. And immediately he received his sight, and followed Jesus in the way.
41:011:001	And when they came nigh to Jerusalem, unto Bethphage and Bethany, at the mount of Olives, he sendeth forth two of his disciples,
41:011:002	And saith unto them, Go your way into the village over against you: and as soon as ye be entered into it, ye shall find a colt tied, whereon never man sat; loose him, and bring him.
41:011:003	And if any man say unto you, Why do ye this? say ye that the Lord hath need of him; and straightway he will send him hither.
41:011:004	And they went their way, and found the colt tied by the door without in a place where two ways met; and they loose him.
41:011:005	And certain of them that stood there said unto them, What do ye, loosing the colt?
41:011:006	And they said unto them even as Jesus had commanded: and they let them go.
41:011:007	And they brought the colt to Jesus, and cast their garments on him; and he sat upon him.
41:011:008	And many spread their garments in the way: and others cut down branches off the trees, and strawed them in the way.
41:011:009	And they that went before, and they that followed, cried, saying, Hosanna; Blessed is he that cometh in the name of the Lord:
41:011:010	Blessed be the kingdom of our father David, that cometh in the name of the Lord: Hosanna in the highest.
41:011:011	And Jesus entered into Jerusalem, and into the temple: and when he had looked round about upon all things, and now the eventide was come, he went out unto Bethany with the twelve.
41:011:012	And on the morrow, when they were come from Bethany, he was hungry:
41:011:013	And seeing a fig tree afar off having leaves, he came, if haply he might find any thing thereon: and when he came to it, he found nothing but leaves; for the time of figs was not yet.
41:011:014	And Jesus answered and said unto it, No man eat fruit of thee hereafter for ever. And his disciples heard it.
41:011:015	And they come to Jerusalem: and Jesus went into the temple, and began to cast out them that sold and bought in the temple, and overthrew the tables of the moneychangers, and the seats of them that sold doves;
41:011:016	And would not suffer that any man should carry any vessel through the temple.
41:011:017	And he taught, saying unto them, Is it not written, My house shall be called of all nations the house of prayer? but ye have made it a den of thieves.
41:011:018	And the scribes and chief priests heard it, and sought how they might destroy him: for they feared him, because all the people was astonished at his doctrine.
41:011:019	And when even was come, he went out of the city.
41:011:020	And in the morning, as they passed by, they saw the fig tree dried up from the roots.
41:011:021	And Peter calling to remembrance saith unto him, Master, behold, the fig tree which thou cursedst is withered away.
41:011:022	And Jesus answering saith unto them, Have faith in God.
41:011:023	For verily I say unto you, That whosoever shall say unto this mountain, Be thou removed, and be thou cast into the sea; and shall not doubt in his heart, but shall believe that those things which he saith shall come to pass; he shall have whatsoever he saith.
41:011:024	Therefore I say unto you, What things soever ye desire, when ye pray, believe that ye receive them, and ye shall have them.
41:011:025	And when ye stand praying, forgive, if ye have ought against any: that your Father also which is in heaven may forgive you your trespasses.
41:011:026	But if ye do not forgive, neither will your Father which is in heaven forgive your trespasses.
41:011:027	And they come again to Jerusalem: and as he was walking in the temple, there come to him the chief priests, and the scribes, and the elders,
41:011:028	And say unto him, By what authority doest thou these things? and who gave thee this authority to do these things?
41:011:029	And Jesus answered and said unto them, I will also ask of you one question, and answer me, and I will tell you by what authority I do these things.
41:011:030	The baptism of John, was it from heaven, or of men? answer me.
41:011:031	And they reasoned with themselves, saying, If we shall say, From heaven; he will say, Why then did ye not believe him?
41:011:032	But if we shall say, Of men; they feared the people: for all men counted John, that he was a prophet indeed.
41:011:033	And they answered and said unto Jesus, We cannot tell. And Jesus answering saith unto them, Neither do I tell you by what authority I do these things.
41:012:001	And he began to speak unto them by parables. A certain man planted a vineyard, and set an hedge about it, and digged a place for the winefat, and built a tower, and let it out to husbandmen, and went into a far country.
41:012:002	And at the season he sent to the husbandmen a servant, that he might receive from the husbandmen of the fruit of the vineyard.
41:012:003	And they caught him, and beat him, and sent him away empty.
41:012:004	And again he sent unto them another servant; and at him they cast stones, and wounded him in the head, and sent him away shamefully handled.
41:012:005	And again he sent another; and him they killed, and many others; beating some, and killing some.
41:012:006	Having yet therefore one son, his wellbeloved, he sent him also last unto them, saying, They will reverence my son.
41:012:007	But those husbandmen said among themselves, This is the heir; come, let us kill him, and the inheritance shall be our's.
41:012:008	And they took him, and killed him, and cast him out of the vineyard.
41:012:009	What shall therefore the lord of the vineyard do? he will come and destroy the husbandmen, and will give the vineyard unto others.
41:012:010	And have ye not read this scripture; The stone which the builders rejected is become the head of the corner:
41:012:011	This was the Lord's doing, and it is marvellous in our eyes?
41:012:012	And they sought to lay hold on him, but feared the people: for they knew that he had spoken the parable against them: and they left him, and went their way.
41:012:013	And they send unto him certain of the Pharisees and of the Herodians, to catch him in his words.
41:012:014	And when they were come, they say unto him, Master, we know that thou art true, and carest for no man: for thou regardest not the person of men, but teachest the way of God in truth: Is it lawful to give tribute to Caesar, or not?
41:012:015	Shall we give, or shall we not give? But he, knowing their hypocrisy, said unto them, Why tempt ye me? bring me a penny, that I may see it.
41:012:016	And they brought it. And he saith unto them, Whose is this image and superscription? And they said unto him, Caesar's.
41:012:017	And Jesus answering said unto them, Render to Caesar the things that are Caesar's, and to God the things that are God's. And they marvelled at him.
41:012:018	Then come unto him the Sadducees, which say there is no resurrection; and they asked him, saying,
41:012:019	Master, Moses wrote unto us, If a man's brother die, and leave his wife behind him, and leave no children, that his brother should take his wife, and raise up seed unto his brother.
41:012:020	Now there were seven brethren: and the first took a wife, and dying left no seed.
41:012:021	And the second took her, and died, neither left he any seed: and the third likewise.
41:012:022	And the seven had her, and left no seed: last of all the woman died also.
41:012:023	In the resurrection therefore, when they shall rise, whose wife shall she be of them? for the seven had her to wife.
41:012:024	And Jesus answering said unto them, Do ye not therefore err, because ye know not the scriptures, neither the power of God?
41:012:025	For when they shall rise from the dead, they neither marry, nor are given in marriage; but are as the angels which are in heaven.
41:012:026	And as touching the dead, that they rise: have ye not read in the book of Moses, how in the bush God spake unto him, saying, I am the God of Abraham, and the God of Isaac, and the God of Jacob?
41:012:027	He is not the God of the dead, but the God of the living: ye therefore do greatly err.
41:012:028	And one of the scribes came, and having heard them reasoning together, and perceiving that he had answered them well, asked him, Which is the first commandment of all?
41:012:029	And Jesus answered him, The first of all the commandments is, Hear, O Israel; The Lord our God is one Lord:
41:012:030	And thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind, and with all thy strength: this is the first commandment.
41:012:031	And the second is like, namely this, Thou shalt love thy neighbour as thyself. There is none other commandment greater than these.
41:012:032	And the scribe said unto him, Well, Master, thou hast said the truth: for there is one God; and there is none other but he:
41:012:033	And to love him with all the heart, and with all the understanding, and with all the soul, and with all the strength, and to love his neighbour as himself, is more than all whole burnt offerings and sacrifices.
41:012:034	And when Jesus saw that he answered discreetly, he said unto him, Thou art not far from the kingdom of God. And no man after that durst ask him any question.
41:012:035	And Jesus answered and said, while he taught in the temple, How say the scribes that Christ is the son of David?
41:012:036	For David himself said by the Holy Ghost, The LORD said to my Lord, Sit thou on my right hand, till I make thine enemies thy footstool.
41:012:037	David therefore himself calleth him Lord; and whence is he then his son? And the common people heard him gladly.
41:012:038	And he said unto them in his doctrine, Beware of the scribes, which love to go in long clothing, and love salutations in the marketplaces,
41:012:039	And the chief seats in the synagogues, and the uppermost rooms at feasts:
41:012:040	Which devour widows' houses, and for a pretence make long prayers: these shall receive greater damnation.
41:012:041	And Jesus sat over against the treasury, and beheld how the people cast money into the treasury: and many that were rich cast in much.
41:012:042	And there came a certain poor widow, and she threw in two mites, which make a farthing.
41:012:043	And he called unto him his disciples, and saith unto them, Verily I say unto you, That this poor widow hath cast more in, than all they which have cast into the treasury:
41:012:044	For all they did cast in of their abundance; but she of her want did cast in all that she had, even all her living.
41:013:001	And as he went out of the temple, one of his disciples saith unto him, Master, see what manner of stones and what buildings are here!
41:013:002	And Jesus answering said unto him, Seest thou these great buildings? there shall not be left one stone upon another, that shall not be thrown down.
41:013:003	And as he sat upon the mount of Olives over against the temple, Peter and James and John and Andrew asked him privately,
41:013:004	Tell us, when shall these things be? and what shall be the sign when all these things shall be fulfilled?
41:013:005	And Jesus answering them began to say, Take heed lest any man deceive you:
41:013:006	For many shall come in my name, saying, I am Christ; and shall deceive many.
41:013:007	And when ye shall hear of wars and rumours of wars, be ye not troubled: for such things must needs be; but the end shall not be yet.
41:013:008	For nation shall rise against nation, and kingdom against kingdom: and there shall be earthquakes in divers places, and there shall be famines and troubles: these are the beginnings of sorrows.
41:013:009	But take heed to yourselves: for they shall deliver you up to councils; and in the synagogues ye shall be beaten: and ye shall be brought before rulers and kings for my sake, for a testimony against them.
41:013:010	And the gospel must first be published among all nations.
41:013:011	But when they shall lead you, and deliver you up, take no thought beforehand what ye shall speak, neither do ye premeditate: but whatsoever shall be given you in that hour, that speak ye: for it is not ye that speak, but the Holy Ghost.
41:013:012	Now the brother shall betray the brother to death, and the father the son; and children shall rise up against their parents, and shall cause them to be put to death.
41:013:013	And ye shall be hated of all men for my name's sake: but he that shall endure unto the end, the same shall be saved.
41:013:014	But when ye shall see the abomination of desolation, spoken of by Daniel the prophet, standing where it ought not, (let him that readeth understand,) then let them that be in Judaea flee to the mountains:
41:013:015	And let him that is on the housetop not go down into the house, neither enter therein, to take any thing out of his house:
41:013:016	And let him that is in the field not turn back again for to take up his garment.
41:013:017	But woe to them that are with child, and to them that give suck in those days!
41:013:018	And pray ye that your flight be not in the winter.
41:013:019	For in those days shall be affliction, such as was not from the beginning of the creation which God created unto this time, neither shall be.
41:013:020	And except that the Lord had shortened those days, no flesh should be saved: but for the elect's sake, whom he hath chosen, he hath shortened the days.
41:013:021	And then if any man shall say to you, Lo, here is Christ; or, lo, he is there; believe him not:
41:013:022	For false Christs and false prophets shall rise, and shall shew signs and wonders, to seduce, if it were possible, even the elect.
41:013:023	But take ye heed: behold, I have foretold you all things.
41:013:024	But in those days, after that tribulation, the sun shall be darkened, and the moon shall not give her light,
41:013:025	And the stars of heaven shall fall, and the powers that are in heaven shall be shaken.
41:013:026	And then shall they see the Son of man coming in the clouds with great power and glory.
41:013:027	And then shall he send his angels, and shall gather together his elect from the four winds, from the uttermost part of the earth to the uttermost part of heaven.
41:013:028	Now learn a parable of the fig tree; When her branch is yet tender, and putteth forth leaves, ye know that summer is near:
41:013:029	So ye in like manner, when ye shall see these things come to pass, know that it is nigh, even at the doors.
41:013:030	Verily I say unto you, that this generation shall not pass, till all these things be done.
41:013:031	Heaven and earth shall pass away: but my words shall not pass away.
41:013:032	But of that day and that hour knoweth no man, no, not the angels which are in heaven, neither the Son, but the Father.
41:013:033	Take ye heed, watch and pray: for ye know not when the time is.
41:013:034	For the Son of Man is as a man taking a far journey, who left his house, and gave authority to his servants, and to every man his work, and commanded the porter to watch.
41:013:035	Watch ye therefore: for ye know not when the master of the house cometh, at even, or at midnight, or at the cockcrowing, or in the morning:
41:013:036	Lest coming suddenly he find you sleeping.
41:013:037	And what I say unto you I say unto all, Watch.
41:014:001	After two days was the feast of the passover, and of unleavened bread: and the chief priests and the scribes sought how they might take him by craft, and put him to death.
41:014:002	But they said, Not on the feast day, lest there be an uproar of the people.
41:014:003	And being in Bethany in the house of Simon the leper, as he sat at meat, there came a woman having an alabaster box of ointment of spikenard very precious; and she brake the box, and poured it on his head.
41:014:004	And there were some that had indignation within themselves, and said, Why was this waste of the ointment made?
41:014:005	For it might have been sold for more than three hundred pence, and have been given to the poor. And they murmured against her.
41:014:006	And Jesus said, Let her alone; why trouble ye her? she hath wrought a good work on me.
41:014:007	For ye have the poor with you always, and whensoever ye will ye may do them good: but me ye have not always.
41:014:008	She hath done what she could: she is come aforehand to anoint my body to the burying.
41:014:009	Verily I say unto you, Wheresoever this gospel shall be preached throughout the whole world, this also that she hath done shall be spoken of for a memorial of her.
41:014:010	And Judas Iscariot, one of the twelve, went unto the chief priests, to betray him unto them.
41:014:011	And when they heard it, they were glad, and promised to give him money. And he sought how he might conveniently betray him.
41:014:012	And the first day of unleavened bread, when they killed the passover, his disciples said unto him, Where wilt thou that we go and prepare that thou mayest eat the passover?
41:014:013	And he sendeth forth two of his disciples, and saith unto them, Go ye into the city, and there shall meet you a man bearing a pitcher of water: follow him.
41:014:014	And wheresoever he shall go in, say ye to the goodman of the house, The Master saith, Where is the guestchamber, where I shall eat the passover with my disciples?
41:014:015	And he will shew you a large upper room furnished and prepared: there make ready for us.
41:014:016	And his disciples went forth, and came into the city, and found as he had said unto them: and they made ready the passover.
41:014:017	And in the evening he cometh with the twelve.
41:014:018	And as they sat and did eat, Jesus said, Verily I say unto you, One of you which eateth with me shall betray me.
41:014:019	And they began to be sorrowful, and to say unto him one by one, Is it I? and another said, Is it I?
41:014:020	And he answered and said unto them, It is one of the twelve, that dippeth with me in the dish.
41:014:021	The Son of man indeed goeth, as it is written of him: but woe to that man by whom the Son of man is betrayed! good were it for that man if he had never been born.
41:014:022	And as they did eat, Jesus took bread, and blessed, and brake it, and gave to them, and said, Take, eat: this is my body.
41:014:023	And he took the cup, and when he had given thanks, he gave it to them: and they all drank of it.
41:014:024	And he said unto them, This is my blood of the new testament, which is shed for many.
41:014:025	Verily I say unto you, I will drink no more of the fruit of the vine, until that day that I drink it new in the kingdom of God.
41:014:026	And when they had sung an hymn, they went out into the mount of Olives.
41:014:027	And Jesus saith unto them, All ye shall be offended because of me this night: for it is written, I will smite the shepherd, and the sheep shall be scattered.
41:014:028	But after that I am risen, I will go before you into Galilee.
41:014:029	But Peter said unto him, Although all shall be offended, yet will not I.
41:014:030	And Jesus saith unto him, Verily I say unto thee, That this day, even in this night, before the cock crow twice, thou shalt deny me thrice.
41:014:031	But he spake the more vehemently, If I should die with thee, I will not deny thee in any wise. Likewise also said they all.
41:014:032	And they came to a place which was named Gethsemane: and he saith to his disciples, Sit ye here, while I shall pray.
41:014:033	And he taketh with him Peter and James and John, and began to be sore amazed, and to be very heavy;
41:014:034	And saith unto them, My soul is exceeding sorrowful unto death: tarry ye here, and watch.
41:014:035	And he went forward a little, and fell on the ground, and prayed that, if it were possible, the hour might pass from him.
41:014:036	And he said, Abba, Father, all things are possible unto thee; take away this cup from me: nevertheless not what I will, but what thou wilt.
41:014:037	And he cometh, and findeth them sleeping, and saith unto Peter, Simon, sleepest thou? couldest not thou watch one hour?
41:014:038	Watch ye and pray, lest ye enter into temptation. The spirit truly is ready, but the flesh is weak.
41:014:039	And again he went away, and prayed, and spake the same words.
41:014:040	And when he returned, he found them asleep again, (for their eyes were heavy,) neither wist they what to answer him.
41:014:041	And he cometh the third time, and saith unto them, Sleep on now, and take your rest: it is enough, the hour is come; behold, the Son of man is betrayed into the hands of sinners.
41:014:042	Rise up, let us go; lo, he that betrayeth me is at hand.
41:014:043	And immediately, while he yet spake, cometh Judas, one of the twelve, and with him a great multitude with swords and staves, from the chief priests and the scribes and the elders.
41:014:044	And he that betrayed him had given them a token, saying, Whomsoever I shall kiss, that same is he; take him, and lead him away safely.
41:014:045	And as soon as he was come, he goeth straightway to him, and saith, Master, master; and kissed him.
41:014:046	And they laid their hands on him, and took him.
41:014:047	And one of them that stood by drew a sword, and smote a servant of the high priest, and cut off his ear.
41:014:048	And Jesus answered and said unto them, Are ye come out, as against a thief, with swords and with staves to take me?
41:014:049	I was daily with you in the temple teaching, and ye took me not: but the scriptures must be fulfilled.
41:014:050	And they all forsook him, and fled.
41:014:051	And there followed him a certain young man, having a linen cloth cast about his naked body; and the young men laid hold on him:
41:014:052	And he left the linen cloth, and fled from them naked.
41:014:053	And they led Jesus away to the high priest: and with him were assembled all the chief priests and the elders and the scribes.
41:014:054	And Peter followed him afar off, even into the palace of the high priest: and he sat with the servants, and warmed himself at the fire.
41:014:055	And the chief priests and all the council sought for witness against Jesus to put him to death; and found none.
41:014:056	For many bare false witness against him, but their witness agreed not together.
41:014:057	And there arose certain, and bare false witness against him, saying,
41:014:058	We heard him say, I will destroy this temple that is made with hands, and within three days I will build another made without hands.
41:014:059	But neither so did their witness agree together.
41:014:060	And the high priest stood up in the midst, and asked Jesus, saying, Answerest thou nothing? what is it which these witness against thee?
41:014:061	But he held his peace, and answered nothing. Again the high priest asked him, and said unto him, Art thou the Christ, the Son of the Blessed?
41:014:062	And Jesus said, I am: and ye shall see the Son of man sitting on the right hand of power, and coming in the clouds of heaven.
41:014:063	Then the high priest rent his clothes, and saith, What need we any further witnesses?
41:014:064	Ye have heard the blasphemy: what think ye? And they all condemned him to be guilty of death.
41:014:065	And some began to spit on him, and to cover his face, and to buffet him, and to say unto him, Prophesy: and the servants did strike him with the palms of their hands.
41:014:066	And as Peter was beneath in the palace, there cometh one of the maids of the high priest:
41:014:067	And when she saw Peter warming himself, she looked upon him, and said, And thou also wast with Jesus of Nazareth.
41:014:068	But he denied, saying, I know not, neither understand I what thou sayest. And he went out into the porch; and the cock crew.
41:014:069	And a maid saw him again, and began to say to them that stood by, This is one of them.
41:014:070	And he denied it again. And a little after, they that stood by said again to Peter, Surely thou art one of them: for thou art a Galilaean, and thy speech agreeth thereto.
41:014:071	But he began to curse and to swear, saying, I know not this man of whom ye speak.
41:014:072	And the second time the cock crew. And Peter called to mind the word that Jesus said unto him, Before the cock crow twice, thou shalt deny me thrice. And when he thought thereon, he wept.
41:015:001	And straightway in the morning the chief priests held a consultation with the elders and scribes and the whole council, and bound Jesus, and carried him away, and delivered him to Pilate.
41:015:002	And Pilate asked him, Art thou the King of the Jews? And he answering said unto them, Thou sayest it.
41:015:003	And the chief priests accused him of many things: but he answered nothing.
41:015:004	And Pilate asked him again, saying, Answerest thou nothing? behold how many things they witness against thee.
41:015:005	But Jesus yet answered nothing; so that Pilate marvelled.
41:015:006	Now at that feast he released unto them one prisoner, whomsoever they desired.
41:015:007	And there was one named Barabbas, which lay bound with them that had made insurrection with him, who had committed murder in the insurrection.
41:015:008	And the multitude crying aloud began to desire him to do as he had ever done unto them.
41:015:009	But Pilate answered them, saying, Will ye that I release unto you the King of the Jews?
41:015:010	For he knew that the chief priests had delivered him for envy.
41:015:011	But the chief priests moved the people, that he should rather release Barabbas unto them.
41:015:012	And Pilate answered and said again unto them, What will ye then that I shall do unto him whom ye call the King of the Jews?
41:015:013	And they cried out again, Crucify him.
41:015:014	Then Pilate said unto them, Why, what evil hath he done? And they cried out the more exceedingly, Crucify him.
